Label,Nodes,Processes,Num Threads,ReadGray(s),ReadColor(s),Gray(s),Hsl(s),Yuv(s),WriteGray(s),WriteHsl(s),WriteYuv(s),Total(s)
"MPI+OpenMP: N 1, Prc 1, Threads 1",1,1,1,0.0296,1.0863,0.741,5.9063,2.8349,3.1852,10.0152,10.0307,33.8473
"MPI+OpenMP: N 1, Prc 1, Threads 2",1,1,2,0.0264,0.5943,0.5697,3.1906,1.6577,3.1775,9.7137,9.746,28.7081
"MPI+OpenMP: N 1, Prc 1, Threads 4",1,1,4,0.0296,0.3453,0.4846,1.9421,1.0821,3.1658,9.6283,9.5331,26.2175
"MPI+OpenMP: N 1, Prc 1, Threads 8",1,1,8,0.0296,0.2008,0.4449,1.4159,0.9184,3.1826,9.4615,9.5874,25.2139
"MPI+OpenMP: N 1, Prc 1, Threads 16",1,1,16,0.0312,0.1764,0.445,1.1641,0.8525,3.1943,9.5573,9.4757,24.8516
"MPI+OpenMP: N 1, Prc 2, Threads 1",1,2,1,0.0188,1.1154,0.4077,3.0692,1.4964,3.1776,10.044,10.0408,29.397
"MPI+OpenMP: N 1, Prc 2, Threads 2",1,2,2,0.0211,0.6018,0.3382,1.7885,0.9041,3.1706,9.6567,9.6585,26.1317
"MPI+OpenMP: N 1, Prc 2, Threads 4",1,2,4,0.0314,0.3294,0.2881,1.2609,0.7508,3.186,9.5373,9.5535,24.9021
"MPI+OpenMP: N 1, Prc 2, Threads 8",1,2,8,0.0314,0.2179,0.2759,0.9935,0.6715,3.1721,9.5083,9.5364,24.45
"MPI+OpenMP: N 1, Prc 2, Threads 16",1,2,16,0.0183,0.1966,0.2676,0.9882,0.6676,3.1723,9.4426,9.4315,24.2133
"MPI+OpenMP: N 1, Prc 4, Threads 1",1,4,1,0.0348,1.1541,0.2372,1.708,0.828,3.1602,9.9591,9.9159,26.9949
"MPI+OpenMP: N 1, Prc 4, Threads 2",1,4,2,0.0317,0.6202,0.2096,1.1697,0.624,3.2002,9.7248,9.7192,25.2914
"MPI+OpenMP: N 1, Prc 4, Threads 4",1,4,4,0.0393,0.3354,0.2012,0.9308,0.5586,3.2036,9.5527,9.6139,24.4118
"MPI+OpenMP: N 1, Prc 4, Threads 8",1,4,8,0.0322,0.2224,0.1899,0.9136,0.5483,3.2391,9.5537,9.4896,24.2299
"MPI+OpenMP: N 1, Prc 4, Threads 16",1,4,16,0.0389,0.2025,0.179,0.9071,0.5473,3.2928,9.4969,9.507,24.1653
"MPI+OpenMP: N 1, Prc 8, Threads 1",1,8,1,0.0607,1.0085,0.1896,1.2674,0.7043,3.2132,10.1067,9.9847,26.4811
"MPI+OpenMP: N 1, Prc 8, Threads 2",1,8,2,0.0593,0.5365,0.1749,0.9581,0.577,3.4358,9.838,11.0315,25.4584
"MPI+OpenMP: N 1, Prc 8, Threads 4",1,8,4,0.0613,0.2916,0.1869,0.9478,0.5586,3.2657,13.3167,11.5572,33.841
"MPI+OpenMP: N 1, Prc 8, Threads 8",1,8,8,0.0551,0.2284,0.19,0.9752,0.5881,6.2977,10.9626,10.7796,35.0378
"MPI+OpenMP: N 1, Prc 8, Threads 16",1,8,16,0.0556,0.1941,0.1766,0.9203,0.5372,3.4793,9.6313,9.5604,24.6001
"MPI+OpenMP: N 2, Prc 1, Threads 1",2,1,1,0.0314,1.0443,0.7341,6.0195,2.862,3.1896,10.0205,10.0521,33.9355
"MPI+OpenMP: N 2, Prc 1, Threads 2",2,1,2,0.0302,0.5759,0.5779,3.2049,1.6384,3.6852,9.7662,10.1685,31.8003
"MPI+OpenMP: N 2, Prc 1, Threads 4",2,1,4,0.0309,0.3348,0.5004,1.9415,1.0838,3.17,9.5208,9.5428,26.1663
"MPI+OpenMP: N 2, Prc 1, Threads 8",2,1,8,0.0295,0.1995,0.4582,1.4143,0.9358,6.2341,12.728,14.1589,35.0372
"MPI+OpenMP: N 2, Prc 1, Threads 16",2,1,16,0.0156,0.1791,0.4306,1.1734,0.8477,3.1877,9.533,9.5657,24.9497
"MPI+OpenMP: N 2, Prc 2, Threads 1",2,2,1,0.0315,1.1275,0.9967,4.9017,3.2938,3.1804,10.0132,10.0422,33.6004
"MPI+OpenMP: N 2, Prc 2, Threads 2",2,2,2,0.0314,0.5921,0.9304,3.4966,2.675,3.1934,9.7775,9.7722,30.5213
"MPI+OpenMP: N 2, Prc 2, Threads 4",2,2,4,0.0287,0.3341,0.8906,2.8089,2.3926,3.1566,9.6522,9.6071,28.8487
"MPI+OpenMP: N 2, Prc 2, Threads 8",2,2,8,0.0167,0.2047,0.8635,2.5559,2.3427,3.169,9.6138,9.5744,28.3638
"MPI+OpenMP: N 2, Prc 2, Threads 16",2,2,16,0.0315,0.192,0.8671,2.4674,2.3006,3.1493,9.5671,9.4599,28.0674
"MPI+OpenMP: N 2, Prc 4, Threads 1",2,4,1,0.0312,1.1411,0.8376,3.4452,2.6022,3.1907,10.0394,10.0504,31.317
"MPI+OpenMP: N 2, Prc 4, Threads 2",2,4,2,0.0305,0.6154,0.8183,2.7354,2.3009,3.1949,9.7841,9.7866,29.2635
"MPI+OpenMP: N 2, Prc 4, Threads 4",2,4,4,0.0309,0.3508,0.7838,2.4281,2.1933,3.1476,9.6687,9.6077,28.2272
"MPI+OpenMP: N 2, Prc 4, Threads 8",2,4,8,0.0191,0.2305,0.7729,2.3128,2.1635,3.1749,9.5194,9.4605,27.6718
"MPI+OpenMP: N 2, Prc 4, Threads 16",2,4,16,0.0178,0.1955,0.7712,2.2886,2.164,3.1734,9.4363,9.6105,27.6687
"MPI+OpenMP: N 2, Prc 8, Threads 1",2,8,1,0.0411,1.1409,0.7537,2.7066,2.2624,3.1779,9.9419,10.0419,30.1006
"MPI+OpenMP: N 2, Prc 8, Threads 2",2,8,2,0.0345,0.6337,0.7447,2.4068,2.1608,3.1418,9.8014,9.7143,28.6475
"MPI+OpenMP: N 2, Prc 8, Threads 4",2,8,4,0.0428,0.336,0.7533,2.2749,2.1146,3.1487,9.6466,9.5443,27.8882
"MPI+OpenMP: N 2, Prc 8, Threads 8",2,8,8,0.0355,0.2184,0.772,2.2383,2.1084,3.1644,9.4929,9.4941,27.6187
"MPI+OpenMP: N 2, Prc 8, Threads 16",2,8,16,0.038,0.1957,0.8245,2.2843,2.1227,3.1797,9.5432,9.4888,27.6144
"MPI+OpenMP: N 2, Prc 16, Threads 1",2,16,1,0.0639,0.9097,0.7347,2.466,2.1782,3.1842,10.0712,10.0162,29.6871
"MPI+OpenMP: N 2, Prc 16, Threads 2",2,16,2,0.0587,0.5488,0.7345,2.3013,2.1146,3.2674,9.8055,9.7291,28.5499
"MPI+OpenMP: N 2, Prc 16, Threads 4",2,16,4,0.0568,0.2964,0.7803,2.3495,2.1235,3.2502,9.6132,9.5822,28.1215
"MPI+OpenMP: N 2, Prc 16, Threads 8",2,16,8,0.0601,0.2259,0.9362,2.3852,2.1714,3.2035,9.5392,9.4864,28.0207
"MPI+OpenMP: N 2, Prc 16, Threads 16",2,16,16,0.0573,0.1832,1.0395,2.4292,2.1444,3.2034,9.4974,9.4839,28.0205
